City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
186,Ponta Do Sol,32.6667,-17.1,63.23,72,7,6.08,PT,clear sky,2022-02-12 07:27:04
187,Nueva Loja,0.0847,-76.8828,70.61,99,100,2.77,EC,overcast clouds,2022-02-12 07:27:04
188,Robertsport,6.7533,-11.3686,76.69,93,18,8.81,LR,few clouds,2022-02-12 07:27:05
189,Puerto Del Rosario,28.5004,-13.8627,60.55,72,0,8.05,ES,clear sky,2022-02-12 07:27:05
190,Kozhva,65.1073,57.0459,10.49,90,100,11.21,RU,overcast clouds,2022-02-12 07:27:06
191,Zabol,32.25,67.25,47.68,24,0,6.26,AF,clear sky,2022-02-12 07:27:06
192,Tura,25.5198,90.2201,71.76,34,5,4.76,IN,clear sky,2022-02-12 07:27:07
193,Waipawa,-41.4122,175.5153,61.45,98,100,11.56,NZ,light rain,2022-02-12 07:27:07
194,Kaeo,-35.1,173.7833,77.32,96,99,21.14,NZ,overcast clouds,2022-02-12 07:27:07
195,Elliot Lake,46.3834,-82.6331,5.09,81,100,14.47,CA,overcast clouds,2022-02-12 07:27:08
196,Kamenka,51.3223,42.7678,29.75,94,97,4.92,RU,overcast clouds,2022-02-12 07:27:08
197,Labrea,-7.2586,-64.7981,71.31,95,100,2.59,BR,overcast clouds,2022-02-12 07:27:09
198,Rantauprapat,2.1,99.8333,82.71,74,100,2.55,ID,overcast clouds,2022-02-12 07:27:09
199,Tautira,-17.7333,-149.15,77.02,74,100,11.07,PF,overcast clouds,2022-02-12 07:27:10
200,Morro Bay,35.3658,-120.8499,61.12,63,4,1.01,US,clear sky,2022-02-12 07:27:10
201,Husavik,66.0449,-17.3389,17.51,80,98,6.49,IS,overcast clouds,2022-02-12 07:27:10
202,Chenghai,23.4632,116.768,67.91,77,75,4.47,CN,broken clouds,2022-02-12 07:27:11
203,Prince Rupert,54.3161,-130.3201,38.89,86,40,10.36,CA,scattered clouds,2022-02-12 07:27:11
204,Mezen,65.8522,44.24,14.94,97,94,6.26,RU,overcast clouds,2022-02-12 07:27:12
205,Nalut,30.3333,10.85,45.3,55,1,9.24,LY,clear sky,2022-02-12 07:27:12
206,Jurm,36.8648,70.8342,41.97,67,75,1.48,AF,broken clouds,2022-02-12 07:27:12
207,Rosaryville,38.7568,-76.8097,56.55,47,0,16.11,US,clear sky,2022-02-12 07:27:13
208,Corinth,37.9407,22.9573,54.75,72,76,0.72,GR,broken clouds,2022-02-12 07:27:13
209,Mar Del Plata,-38.0023,-57.5575,62.1,74,75,21.0,AR,broken clouds,2022-02-12 07:27:14
210,Lorengau,-2.0226,147.2712,81.88,77,73,2.66,PG,broken clouds,2022-02-12 07:27:14
211,Kaspiyskiy,45.3929,47.3707,42.96,68,17,15.21,RU,few clouds,2022-02-12 07:27:14
212,Eureka,40.8021,-124.1637,51.19,73,0,3.49,US,clear sky,2022-02-12 07:27:15
213,Dudinka,69.4058,86.1778,-10.66,87,40,10.51,RU,scattered clouds,2022-02-12 07:27:16
214,Konin,52.2234,18.2512,31.05,82,6,5.93,PL,clear sky,2022-02-12 07:27:16
215,Avarua,-21.2078,-159.775,77.05,88,80,1.14,CK,broken clouds,2022-02-12 07:27:17
216,Puerto Narino,-3.7703,-70.3831,75.15,94,100,1.7,CO,overcast clouds,2022-02-12 07:27:17
217,Vysokogornyy,50.1167,139.15,19.17,94,100,3.06,RU,light snow,2022-02-12 07:27:18
218,Jacareacanga,-6.2222,-57.7528,71.73,99,95,0.65,BR,overcast clouds,2022-02-12 07:27:18
219,Jacqueville,5.2052,-4.4146,82.31,84,13,4.56,CI,few clouds,2022-02-12 07:27:19
220,Grindavik,63.8424,-22.4338,27.07,68,0,17.27,IS,clear sky,2022-02-12 07:27:19
221,Svetlogorsk,52.6333,29.7333,28.69,95,93,9.22,BY,overcast clouds,2022-02-12 07:27:20
222,Sangar,63.9242,127.4739,-24.63,99,99,0.81,RU,overcast clouds,2022-02-12 07:27:20
223,Liverpool,53.4106,-2.9779,46.67,78,40,10.36,GB,scattered clouds,2022-02-12 07:27:21
224,Katsuura,35.1333,140.3,51.12,55,100,8.19,JP,overcast clouds,2022-02-12 07:27:21
225,Basco,20.4487,121.9702,76.39,73,100,16.37,PH,overcast clouds,2022-02-12 07:28:21
226,Neringa,55.3719,21.0647,35.67,71,1,22.66,LT,clear sky,2022-02-12 07:28:22
227,Sayyan,15.1718,44.3244,63.59,26,0,2.17,YE,clear sky,2022-02-12 07:28:22
228,Mattru,7.6244,-11.8332,73.76,95,67,2.86,SL,broken clouds,2022-02-12 07:28:23
229,Sitka,57.0531,-135.33,44.49,93,100,3.44,US,light rain,2022-02-12 07:24:38
230,Sistranda,63.7256,8.834,37.36,64,100,18.05,NO,light rain,2022-02-12 07:28:23
231,Pacific Grove,36.6177,-121.9166,61.56,74,0,4.61,US,clear sky,2022-02-12 07:28:24
232,Mildura,-34.2,142.15,92.07,25,0,2.3,AU,clear sky,2022-02-12 07:24:07
233,Bambous Virieux,-20.3428,57.7575,84.22,78,40,13.8,MU,scattered clouds,2022-02-12 07:28:24
234,Jacksonville,30.3322,-81.6556,53.98,90,40,0.0,US,scattered clouds,2022-02-12 07:26:30
235,Georgetown,5.4112,100.3354,89.53,69,20,10.36,MY,few clouds,2022-02-12 07:28:25
236,Qaqortoq,60.7167,-46.0333,34.3,80,100,11.25,GL,overcast clouds,2022-02-12 07:28:26
237,Kefalos,36.7453,26.9589,57.42,67,40,2.3,GR,scattered clouds,2022-02-12 07:28:26
238,Cabedelo,-6.9811,-34.8339,77.67,82,64,6.82,BR,broken clouds,2022-02-12 07:28:27
239,Ndjole,-0.1783,10.7649,77.7,90,93,0.72,GA,overcast clouds,2022-02-12 07:28:27
240,Sao Filipe,14.8961,-24.4956,78.62,45,52,16.08,CV,broken clouds,2022-02-12 07:28:28
241,Honningsvag,70.9821,25.9704,29.98,59,98,13.94,NO,light snow,2022-02-12 07:28:28
242,Yatou,37.15,122.3833,42.01,50,92,7.61,CN,overcast clouds,2022-02-12 07:28:29
243,Oranjemund,-28.55,16.4333,71.6,63,100,13.35,NA,overcast clouds,2022-02-12 07:28:29
244,Karratha,-20.7377,116.8463,94.55,48,0,16.69,AU,clear sky,2022-02-12 07:28:29
245,Oga,46.4631,10.347,18.68,29,0,1.81,IT,clear sky,2022-02-12 07:28:30
246,Rafai,4.95,23.9167,80.17,18,97,6.6,CF,overcast clouds,2022-02-12 07:28:30
247,San Quintin,30.4833,-115.95,61.14,58,0,2.71,MX,clear sky,2022-02-12 07:28:31
248,Chute-Aux-Outardes,49.1168,-68.399,39.51,100,100,9.22,CA,snow,2022-02-12 07:28:31
249,Oudtshoorn,-33.5907,22.2014,66.56,39,100,1.88,ZA,overcast clouds,2022-02-12 07:28:31
250,Kieta,-6.2167,155.6333,79.79,83,100,3.4,PG,light rain,2022-02-12 07:28:32
251,Minab,27.1467,57.0801,77.32,41,0,2.3,IR,clear sky,2022-02-12 07:28:32
252,Kungurtug,50.5994,97.5228,-2.45,84,65,1.43,RU,broken clouds,2022-02-12 07:28:33
253,Barceloneta,18.4505,-66.5385,75.09,93,11,9.62,PR,few clouds,2022-02-12 07:28:33
254,Kozova,49.4354,25.1509,37.02,93,100,13.51,UA,overcast clouds,2022-02-12 07:28:33
255,Quatre Cocos,-20.2078,57.7625,84.09,73,100,9.31,MU,overcast clouds,2022-02-12 07:28:34
256,Klaksvik,62.2266,-6.589,43.72,93,100,18.97,FO,overcast clouds,2022-02-12 07:28:34
257,Saint-Pierre,-21.3393,55.4781,85.19,74,0,10.36,RE,clear sky,2022-02-12 07:28:35
258,Lhokseumawe,5.1801,97.1507,84.87,66,100,6.02,ID,overcast clouds,2022-02-12 07:28:35
259,Udaipura,23.0833,78.5,75.83,19,65,2.19,IN,broken clouds,2022-02-12 07:28:36
260,Clovis,36.8252,-119.7029,61.84,74,20,3.44,US,few clouds,2022-02-12 07:28:36
